Variable,Value,Frequency/Mean,Percentage/SD
person_id,2320551801,6,0.17%
person_id,2302831501,6,0.17%
person_id,2303014701,5,0.14%
person_id,2309881901,5,0.14%
person_id,2313734701,5,0.14%
person_id,2305682401,5,0.14%
person_id,2304897601,5,0.14%
person_id,2311273601,5,0.14%
person_id,2338259601,5,0.14%
person_id,2305306703,5,0.14%
person_id,2311436901,5,0.14%
person_id,2333467101,5,0.14%
person_id,2305923901,5,0.14%
person_id,2320103601,5,0.14%
person_id,2316703401,5,0.14%
person_id,2301042101,5,0.14%
person_id,2320091001,5,0.14%
person_id,2309077901,5,0.14%
person_id,2310134002,5,0.14%
person_id,2315088501,5,0.14%
person_id,2311173201,5,0.14%
person_id,2316176601,5,0.14%
person_id,2301735601,5,0.14%
person_id,2319992901,5,0.14%
person_id,2319595701,5,0.14%
person_id,2319595401,5,0.14%
person_id,2304008901,5,0.14%
person_id,2320990501,5,0.14%
person_id,2309390501,5,0.14%
person_id,2313854201,5,0.14%
person_id,2318976601,5,0.14%
person_id,2315697003,5,0.14%
person_id,2307786901,5,0.14%
person_id,2311140601,5,0.14%
person_id,2319727201,5,0.14%
person_id,2339825701,5,0.14%
person_id,2313111001,4,0.11%
person_id,2303910101,4,0.11%
person_id,2330545002,4,0.11%
person_id,2310380201,4,0.11%
person_id,2320420901,4,0.11%
person_id,2315161401,4,0.11%
person_id,2330545001,4,0.11%
person_id,2311173202,4,0.11%
person_id,2320737501,4,0.11%
person_id,2309989901,4,0.11%
person_id,2310273801,4,0.11%
person_id,2310023301,4,0.11%
person_id,2310980301,4,0.11%
person_id,2301200702,4,0.11%
person_id,2303313501,4,0.11%
person_id,2313281403,4,0.11%
person_id,2315135201,4,0.11%
person_id,2336624001,4,0.11%
person_id,2302692901,4,0.11%
person_id,2301735602,4,0.11%
person_id,2338499701,4,0.11%
person_id,2315543902,4,0.11%
person_id,2316176602,4,0.11%
person_id,2319042302,4,0.11%
person_id,2313620801,4,0.11%
person_id,2331820901,4,0.11%
person_id,2319157401,4,0.11%
person_id,2315769602,4,0.11%
person_id,2314017804,4,0.11%
person_id,2314017803,4,0.11%
person_id,2314017801,4,0.11%
person_id,2315608201,4,0.11%
person_id,2314008101,4,0.11%
person_id,2330316101,4,0.11%
person_id,2332719001,4,0.11%
person_id,2331966401,4,0.11%
person_id,2332963001,4,0.11%
person_id,2333612501,4,0.11%
person_id,2311376901,4,0.11%
person_id,2330388101,4,0.11%
person_id,2315702501,4,0.11%
person_id,2321003001,4,0.11%
person_id,2338806602,4,0.11%
person_id,2338825301,4,0.11%
person_id,2306707101,4,0.11%
person_id,2310655301,4,0.11%
person_id,2306106301,4,0.11%
person_id,2306094102,4,0.11%
person_id,2309214302,4,0.11%
person_id,2300381501,4,0.11%
person_id,2309414501,4,0.11%
person_id,2316996401,4,0.11%
person_id,2321804201,4,0.11%
person_id,2308346801,4,0.11%
person_id,2321521502,4,0.11%
person_id,2321521501,4,0.11%
person_id,2337651101,4,0.11%
person_id,2310165101,4,0.11%
person_id,2318487301,4,0.11%
person_id,2323596902,4,0.11%
person_id,2321400102,4,0.11%
person_id,2319962201,4,0.11%
person_id,2309368301,4,0.11%
person_id,2304400101,4,0.11%
person_id,2321172101,4,0.11%
person_id,2319698701,4,0.11%
person_id,2304194401,4,0.11%
person_id,2300871801,4,0.11%
person_id,2320546801,4,0.11%
person_id,2321195101,4,0.11%
person_id,2315261501,4,0.11%
person_id,2310406301,4,0.11%
person_id,2319669201,4,0.11%
person_id,2315081801,3,0.09%
person_id,2302756401,3,0.09%
person_id,2307792101,3,0.09%
person_id,2321682201,3,0.09%
person_id,2315356802,3,0.09%
person_id,2319016702,3,0.09%
person_id,2333038201,3,0.09%
person_id,2307282701,3,0.09%
person_id,2308761501,3,0.09%
person_id,2320618701,3,0.09%
person_id,2308292201,3,0.09%
person_id,2307994301,3,0.09%
person_id,2306094101,3,0.09%
person_id,2334155701,3,0.09%
person_id,2336570801,3,0.09%
person_id,2313582301,3,0.09%
person_id,2306332901,3,0.09%
person_id,2319874901,3,0.09%
person_id,2314997902,3,0.09%
person_id,2321924501,3,0.09%
person_id,2315417801,3,0.09%
person_id,2320290701,3,0.09%
person_id,2318798601,3,0.09%
person_id,2305048301,3,0.09%
person_id,2314839001,3,0.09%
person_id,2313134701,3,0.09%
person_id,2300432901,3,0.09%
person_id,2311010001,3,0.09%
person_id,2310713801,3,0.09%
person_id,2315672101,3,0.09%
person_id,2301037101,3,0.09%
person_id,2305911801,3,0.09%
person_id,2310845801,3,0.09%
person_id,2304327602,3,0.09%
person_id,2311086501,3,0.09%
person_id,2321919001,3,0.09%
person_id,2300559501,3,0.09%
person_id,2309473601,3,0.09%
person_id,2310134001,3,0.09%
person_id,2310505901,3,0.09%
person_id,2309128102,3,0.09%
person_id,2314686501,3,0.09%
person_id,2335747701,3,0.09%
person_id,2335386201,3,0.09%
person_id,2332986701,3,0.09%
person_id,2338994301,2,0.06%
person_id,2316812301,2,0.06%
person_id,2318153202,2,0.06%
person_id,2335697401,2,0.06%
person_id,2336630301,2,0.06%
person_id,2337498601,2,0.06%
person_id,2318798602,2,0.06%
person_id,2339673901,2,0.06%
person_id,2316996402,2,0.06%
person_id,2318923701,2,0.06%
person_id,2338259602,2,0.06%
person_id,2317831001,2,0.06%
person_id,2336630302,2,0.06%
person_id,2338000201,2,0.06%
person_id,2335981902,2,0.06%
person_id,2337078701,2,0.06%
person_id,2337573001,2,0.06%
person_id,2320545002,2,0.06%
person_id,2331612501,2,0.06%
person_id,2336624002,2,0.06%
person_id,2330455901,2,0.06%
person_id,2321195102,2,0.06%
person_id,2326363402,2,0.06%
person_id,2326237601,2,0.06%
person_id,2327633002,2,0.06%
person_id,2321261001,2,0.06%
person_id,2323937901,2,0.06%
person_id,2321297602,2,0.06%
person_id,2321982201,2,0.06%
person_id,2321381401,2,0.06%
person_id,2321840201,2,0.06%
person_id,2321822601,2,0.06%
person_id,2321804202,2,0.06%
person_id,2321393701,2,0.06%
person_id,2321400101,2,0.06%
person_id,2321476501,2,0.06%
person_id,2321749601,2,0.06%
person_id,2319890601,2,0.06%
person_id,2319517701,2,0.06%
person_id,2320589902,2,0.06%
person_id,2320589901,2,0.06%
person_id,2319669202,2,0.06%
person_id,2327803001,2,0.06%
person_id,2320828401,2,0.06%
person_id,2319003401,2,0.06%
